name,opening_date,opening_gross,opening_theaters,studio,theaters,total_gross,url
Dream Lover,5/6/1994,"$44,701",6,Gram.,13,"$256,264",/movies/?id=dreamlover.htm
Dream Lover,2/21/1986,"$202,733",171,MGM,171,"$502,237",/movies/?id=dreamlove86r.htm
The Dream Team,4/7/1989,"$5,704,860","1,316",Uni.,"1,459","$28,890,240",/movies/?id=dreamteam.htm
Dream with the Fishes,6/20/1997,"$31,777",7,SPC,32,"$543,708",/movies/?id=dreamwiththefishes.htm
Dreamcatcher,3/21/2003,"$15,027,423","2,945",WB,"2,945","$33,715,436",/movies/?id=dreamcatcher.htm
Dreamchild,10/4/1985,n/a,n/a,Uni.,3,"$1,215,923",/movies/?id=dreamchild.htm
Dreamer: Inspired by a True Story,10/21/2005,"$9,178,233","2,007",DW,"2,735","$32,751,093",/movies/?id=dreamer.htm
The Dreamers,2/6/2004,"$142,632",5,FoxS,116,"$2,532,228",/movies/?id=dreamers.htm
Dreamgirls,12/15/2006,"$378,950",3,P/DW,"2,797","$103,365,956",/movies/?id=dreamgirls.htm
Dreaming Lhasa,4/13/2007,"$6,060",1,FRun,3,"$21,504",/movies/?id=dreaminglhasa.htm
Dreaming of Joseph Lees,10/29/1999,"$7,680",2,FoxS,2,"$12,044",/movies/?id=dreamingofjosephlees.htm
Dreamkiller,2/19/2010,$861,3,Del.,3,"$15,514",/movies/?id=dreamkiller.htm
Dreamland,12/1/2006,"$4,350",5,Truly,5,"$6,383",/movies/?id=dreamland.htm
The Dreamlife of Angels,4/2/1999,"$59,333",6,SPC,66,"$1,726,567",/movies/?id=dreamlifeofangels.htm
Dreams of a Life,8/3/2012,"$3,085",1,Strand,1,"$8,405",/movies/?id=dreamsofalife.htm
Dreams Rewired,11/12/2015,n/a,n/a,Icar.,4,"$11,843",/movies/?id=dreamsrewired.htm
Dreamscape,8/17/1984,"$2,257,627",816,Fox,816,"$12,145,169",/movies/?id=dreamscape.htm
Dredd,9/21/2012,"$6,278,491","2,506",LGF,"2,557","$13,414,714",/movies/?id=dredd.htm
Dressed,2/4/2011,n/a,1,Dress.,1,n/a,/movies/?id=dressed.htm
Dressed to Kill,6/23/1980,n/a,n/a,Orion,n/a,"$31,899,000",/movies/?id=dressedtokill.htm
The Dresser,12/9/1983,"$26,877",3,Col.,241,"$5,310,748",/movies/?id=dresser.htm
The Dressmaker,9/23/2016,"$185,165",36,BG,174,"$2,022,115",/movies/?id=thedressmaker.htm
Drew: The Man Behind the Poster,8/14/2013,"$1,764",1,KL,1,"$3,078",/movies/?id=drew2013.htm
Drillbit Taylor,3/21/2008,"$10,309,986","3,056",Par.,"3,061","$32,862,104",/movies/?id=drillbittaylor.htm
Drinking Buddies,8/23/2013,"$19,505",2,Magn.,33,"$343,341",/movies/?id=drinkingbuddies.htm
Drive,8/7/1992,"$4,715",1,MEI,1,"$15,084",/movies/?id=drive.htm
Drive (2011),9/16/2011,"$11,340,461","2,886",FD,"2,904","$35,060,689",/movies/?id=drive2011.htm
Drive Angry,2/25/2011,"$5,187,625","2,290",Sum.,"2,290","$10,721,033",/movies/?id=driveangry.htm
Drive Me Crazy,10/1/1999,"$6,846,112","2,222",Fox,"2,233","$17,845,337",/movies/?id=drivemecrazy.htm
Driven,4/27/2001,"$12,174,504","2,905",WB,"2,905","$32,720,065",/movies/?id=driven.htm
The Driver's Seat,10/10/1975,n/a,n/a,AVCO,n/a,n/a,/movies/?id=driversseat.htm
Drivers Wanted,6/24/2005,"$3,657",1,Pill.,1,"$25,189",/movies/?id=driverswanted.htm
Driving Lessons,10/13/2006,"$22,603",8,SPC,21,"$239,962",/movies/?id=drivinglessons.htm
Driving Miss Daisy,12/15/1989,"$73,745",3,WB,"1,668","$106,593,296",/movies/?id=drivingmissdaisy.htm
Drona,10/2/2008,"$199,329",90,Eros,90,"$475,104",/movies/?id=drona.htm
Drone,5/26/2017,n/a,n/a,Scre.,n/a,n/a,/movies/?id=drone.htm
Drool,1/22/2010,"$1,199",1,Strand,1,"$1,403",/movies/?id=drool.htm
The Drop,9/12/2014,"$4,104,552",809,FoxS,"1,192","$10,724,389",/movies/?id=drop.htm
Drop Dead Fred,5/24/1991,"$3,625,648",851,NL,933,"$13,878,334",/movies/?id=dropdeadfred.htm
Drop Dead Gorgeous,7/23/1999,"$3,986,269","1,207",NL,"1,207","$10,571,408",/movies/?id=dropdeadgorgeous.htm
Drop Squad,10/28/1994,"$348,192",163,Gram.,163,"$734,693",/movies/?id=dropsquad.htm
Drop Zone,12/9/1994,"$6,143,566","2,020",Par.,"2,055","$28,735,315",/movies/?id=dropzone.htm
Drown,8/28/2015,$860,1,Strand,1,"$1,631",/movies/?id=drown.htm
Drowning by Numbers,4/26/1991,n/a,n/a,Mira.,n/a,"$424,773",/movies/?id=drowningbynumbers.htm
Drowning Mona,3/3/2000,"$5,802,229","1,981",Dest.,"1,981","$15,506,764",/movies/?id=drowningmona.htm
The Drowning Pool,6/25/1975,n/a,n/a,WB,n/a,n/a,/movies/?id=drowningpool.htm
Drug War,7/26/2013,"$5,926",1,Vari.,13,"$128,195",/movies/?id=drugwar.htm
Drugstore Cowboy,10/6/1989,"$25,805",1,Ave,87,"$4,729,352",/movies/?id=drugstorecowboy.htm
Drumline,12/13/2002,"$12,604,705","1,836",Fox,"1,837","$56,399,184",/movies/?id=drumline.htm
Drums Along the Mohawk,11/3/1939,n/a,n/a,Fox,n/a,n/a,/movies/?id=drumsalongthemohawk.htm
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,9/25/2015,"$5,254",1,Magn.,22,"$62,660",/movies/?id=drunkstonedbrilliantdead.htm
Drunk Wedding,5/22/2015,"$3,301",16,PARAIN,16,"$3,301",/movies/?id=drunkwedding.htm
Drunks,3/14/1997,"$17,581",2,N.Arts,2,"$38,268",/movies/?id=drunks.htm
Dry Cleaning,2/5/1999,"$14,919",1,Strand,1,"$14,919",/movies/?id=drycleaning.htm
The Dry Land,7/30/2010,"$7,351",5,Free,5,"$11,777",/movies/?id=dryland.htm
A Dry White Season,9/20/1989,"$202,507",17,MGM,316,"$3,766,879",/movies/?id=drywhiteseason.htm
Du Barry Was a Lady,8/13/1943,n/a,n/a,MGM,n/a,n/a,/movies/?id=dubarrywasalady.htm
Duane Hopwood,11/11/2005,"$2,519",1,IFC,3,"$13,510",/movies/?id=duanehopwood.htm
The Duchess,9/19/2008,"$190,426",7,ParV,"1,207","$13,848,978",/movies/?id=duchess.htm
The Duchess of Langeais,2/22/2008,"$22,251",2,IFC,11,"$282,749",/movies/?id=duchessoflangeais.htm
Duck,5/11/2007,n/a,n/a,RBra.,5,n/a,/movies/?id=duck.htm
Duck Season,3/10/2006,"$24,658",6,WIP,24,"$147,551",/movies/?id=duckseason.htm
Duck Soup,11/17/1933,n/a,n/a,Par.,n/a,n/a,/movies/?id=ducksoup.htm
Duck Tales: The Movie,8/3/1990,"$3,870,366","1,549",BV,"1,558","$18,115,724",/movies/?id=ducktalesthemovie.htm
"Duck, You Sucker",6/30/1972,n/a,n/a,UA,n/a,n/a,/movies/?id=duckyousucker.htm
Duckweed,2/10/2017,"$160,739",27,CL,30,"$471,575",/movies/?id=duckweed.htm
"Dude, Where's My Car?",12/15/2000,"$13,845,914","2,087",Fox,"2,100","$46,729,800",/movies/?id=dudewheresmycar.htm
Dudley Do-Right,8/27/1999,"$3,018,345","1,802",Uni.,"1,855","$9,974,410",/movies/?id=dudleydo-right.htm
Due Date,11/5/2010,"$32,689,406","3,355",WB,"3,365","$100,539,043",/movies/?id=duedate.htm
Duel in the Sun,12/31/1946,n/a,n/a,Selz.,n/a,"$20,408,163",/movies/?id=duelinthesun.htm
The Duelist,12/2/2016,"$7,576",10,Sony,10,"$13,450",/movies/?id=theduelist16.htm
Duet for One,12/25/1986,"$7,149",1,Can.,1,"$8,736",/movies/?id=duetforone.htm
Duets,9/15/2000,"$2,002,588",581,BV,583,"$4,739,023",/movies/?id=duets.htm
The DUFF,2/20/2015,"$10,809,149","2,575",LGF,"2,622","$34,030,343",/movies/?id=duff.htm
The Duke of Burgundy,1/23/2015,"$11,902",3,IFC,10,"$64,521",/movies/?id=dukeofburgundy.htm
The Dukes,11/14/2008,"$6,067",4,CAVU,11,"$26,875",/movies/?id=dukes08.htm
The Dukes of Hazzard,8/5/2005,"$30,675,314","3,785",WB,"3,785","$80,270,227",/movies/?id=dukesofhazzard.htm
Dum,1/24/2003,"$46,700",18,Eros,18,"$101,000",/movies/?id=dum.htm
Dum Maaro Dum,4/22/2011,"$327,523",101,FoxS,101,"$564,489",/movies/?id=dummaarodum.htm
Duma,4/22/2005,n/a,42,WB,42,"$870,067",/movies/?id=duma.htm
Dumb and Dumber,12/16/1994,"$16,363,442","2,447",NL,"2,565","$127,175,374",/movies/?id=dumbanddumber.htm
Dumb and Dumber To,11/14/2014,"$36,111,775","3,154",Uni.,"3,188","$86,208,010",/movies/?id=dumberto.htm
Dumb and Dumberer: When Harry Met Lloyd,6/13/2003,"$10,845,064","2,609",NL,"2,609","$26,276,465",/movies/?id=dumbanddumberer.htm
Dumbo,10/23/1941,n/a,n/a,RKO,n/a,n/a,/movies/?id=dumbo.htm
Dumbo (2019),3/29/2019,n/a,n/a,BV,n/a,n/a,/movies/?id=untitleddisneyfairytalela.htm
Dumbstruck,4/15/2011,$981,1,Truly,2,"$15,379",/movies/?id=dumbstruck.htm
Dummy,9/12/2003,"$30,120",5,Art.,5,"$71,646",/movies/?id=dummy.htm
Dune,12/14/1984,"$6,025,091",915,Uni.,975,"$30,925,690",/movies/?id=dune.htm
Dungeons & Dragons,12/8/2000,"$7,237,422","2,078",NL,"2,078","$15,220,685",/movies/?id=dungeonsanddragons.htm
Dunkirk,7/21/2017,"$50,513,488","3,720",WB,"4,014","$186,881,004",/movies/?id=chrisnolan2017.htm
Dunston Checks In,1/12/1996,"$2,996,891","1,290",Fox,"1,292","$9,871,065",/movies/?id=dunstonchecksin.htm
Duplex,9/26/2003,"$4,617,128","2,189",Mira.,"2,191","$9,692,135",/movies/?id=duplex.htm
Duplicity,3/20/2009,"$13,965,110","2,574",Uni.,"2,579","$40,572,825",/movies/?id=duplicity.htm
Duran Duran: Unstaged,9/10/2014,n/a,n/a,P4,n/a,"$110,746",/movies/?id=duranduranunstaged.htm
Dus Khaniyan,12/7/2007,"$176,726",55,Eros,55,"$219,071",/movies/?id=duskhaniyan.htm
The Dust Factory,10/15/2004,"$8,000",22,MGM,22,"$12,311",/movies/?id=dustfactory.htm
Dust to Glory,4/1/2005,"$15,757",2,IFC,80,"$640,013",/movies/?id=dusttoglory.htm
Dutch,7/19/1991,"$1,867,201","1,232",Fox,"1,232","$4,603,929",/movies/?id=dutch.htm
The Dying Gaul,11/4/2005,"$53,944",11,Hole.,24,"$342,747",/movies/?id=dyinggaul.htm
The Dying of the Light,4/7/2016,$996,1,FRun,2,"$6,627",/movies/?id=thedyingofthelight.htm
Dying Young,6/21/1991,"$9,725,885","1,552",Fox,"1,552","$33,669,178",/movies/?id=dyingyoung.htm
Dylan Dog: Dead of Night,4/29/2011,"$754,779",875,OMNI/FSR,875,"$1,186,538",/movies/?id=dylandog.htm
Dynamite Warrior,7/6/2007,"$1,082",3,Magn.,7,"$52,292",/movies/?id=dynamitewarrior.htm
Dysfunctional Friends,2/3/2012,"$7,409",2,DTP,2,"$13,546",/movies/?id=dysfunctionalfriends.htm
DysFunKtional Family,4/4/2003,"$1,079,797",602,Mira.,602,"$2,255,000",/movies/?id=dysfunktionalfamily.htm
Dystopia 2013,1/13/2012,"$1,011",1,ZMG,1,"$1,708",/movies/?id=dystopia2013.htm
E.T. (20th Anniversary),3/22/2002,"$14,223,110","3,007",Uni.,"3,007","$35,306,015*",/movies/?id=et20th.htm
E.T.: The Extra-Terrestrial,6/11/1982,"$11,835,389","1,103",Uni.,"1,778","$359,197,037*",/movies/?id=et.htm
E.T.: The Extra-Terrestrial (Re-issue),7/19/1985,"$8,807,023","1,684",Uni.,"1,701","$40,607,502*",/movies/?id=et85.htm
The Eagle,2/11/2011,"$8,684,464","2,296",Focus,"2,296","$19,490,041",/movies/?id=eagleoftheninth.htm
Eagle Eye,9/26/2008,"$29,150,721","3,510",P/DW,"3,614","$101,440,743",/movies/?id=eagleeye.htm
The Eagle Huntress,11/2/2016,"$52,574",4,SPC,122,"$3,169,351",/movies/?id=theeaglehuntress.htm
Eagle Vs. Shark,6/15/2007,"$20,361",3,Mira.,20,"$221,846",/movies/?id=eaglevsshark.htm
Eames: The Architect and the Painter,11/11/2011,n/a,n/a,FRun,12,"$153,088",/movies/?id=eames.htm
Early Man,2/16/2018,n/a,n/a,LGF,n/a,n/a,/movies/?id=earlyman.htm
The Earrings of Madame de... (re-issue),3/16/2007,"$15,409",1,Jan.,3,"$130,561",/movies/?id=earringsofmadamede.htm
Earth (1999),9/10/1999,"$42,449",8,Zeit.,18,"$424,798",/movies/?id=earth.htm
Earth (2009),4/22/2009,"$8,825,760","1,804",BV,"1,804","$32,011,576",/movies/?id=earth09.htm
Earth Days,8/14/2009,"$2,408",1,Zeit.,5,"$26,748",/movies/?id=earthdays.htm
Earth Girls Are Easy,5/12/1989,"$892,742",317,Vest,317,"$3,916,303",/movies/?id=earthgirlsareeasy.htm
Earth to Echo,7/2/2014,"$8,364,658","3,230",Rela.,"3,230","$38,934,842",/movies/?id=echo.htm
The Earth Will Swallow You,4/12/2002,"$16,117",5,Hans.,5,"$75,204",/movies/?id=earthwillswallowyou.htm
Earth: One Amazing Day,10/6/2017,n/a,n/a,BBC,n/a,n/a,/movies/?id=earthoneamazingday.htm
Earthquake,11/15/1974,n/a,n/a,Uni.,n/a,"$79,666,653",/movies/?id=earthquake.htm
The East,5/31/2013,"$77,031",4,FoxS,195,"$2,301,839",/movies/?id=east.htm
East is East,4/14/2000,"$53,569",4,Mira.,157,"$4,177,818",/movies/?id=eastiseast.htm
East of Eden,3/9/1955,n/a,n/a,WB,n/a,n/a,/movies/?id=eastofeden.htm
East of Havana,2/2/2007,"$4,800",1,BMG,1,"$11,550",/movies/?id=eastofhavana.htm
East-West,4/7/2000,"$56,147",8,SPC,70,"$2,321,029",/movies/?id=east-west.htm
Eastern Boys,2/27/2015,"$5,726",1,FRun,2,"$16,831",/movies/?id=easternboys.htm
Eastern Promises,9/14/2007,"$547,092",15,Focus,"1,408","$17,266,000",/movies/?id=easternpromises.htm
Easy,11/26/2004,"$14,811",6,Magic,6,"$21,589",/movies/?id=easy.htm
Easy A,9/17/2010,"$17,734,040","2,856",SGem,"2,974","$58,401,464",/movies/?id=easya.htm
Easy Money,8/19/1983,"$5,844,974","1,130",Orion,"1,171","$29,309,766",/movies/?id=easymoney.htm
Easy Money (2012),7/11/2012,"$24,684",2,Wein.,7,"$205,741",/movies/?id=easymoney2012.htm
Easy Rider,7/14/1969,n/a,n/a,Col.,n/a,n/a,/movies/?id=easyrider.htm
Easy to Wed,7/11/1946,n/a,n/a,MGM,n/a,n/a,/movies/?id=easytowed.htm
Easy Virtue,5/22/2009,"$110,443",10,SPC,255,"$2,656,784",/movies/?id=easyvirtue.htm
Eat Drink Man Woman,8/3/1994,"$155,512",14,Gold.,217,"$7,294,403",/movies/?id=eatdrinkmanwoman.htm
Eat Pray Love,8/13/2010,"$23,104,523","3,082",Sony,"3,108","$80,574,010",/movies/?id=eatpraylove.htm
Eat That Question: Frank Zappa in His Own Words,6/24/2016,"$16,695",2,SPC,29,"$355,074",/movies/?id=eatthatquestion.htm
Eat the Rich,4/22/1988,n/a,n/a,NL,n/a,"$200,723",/movies/?id=eattherich.htm
Eat This New York,1/30/2004,"$5,847",2,Org.,2,"$24,640",/movies/?id=eatthisnewyork.htm
Eating,11/16/1990,"$12,764",2,RBR,19,"$2,100,538",/movies/?id=eating.htm
Eating Out,3/18/2005,"$17,510",1,Ariz.,7,"$155,212",/movies/?id=eatingout.htm
Eating Out 2: Sloppy Seconds,11/24/2006,"$4,394",1,Ariz.,5,"$37,072",/movies/?id=eatingout2.htm
Eban and Charley,12/14/2001,"$10,400",1,Pict.,1,"$16,918",/movies/?id=ebanandcharley.htm
Echelon Conspiracy,2/27/2009,"$500,154",400,ADF,400,"$666,009",/movies/?id=echelonconspiracy.htm
Echoes of Innocence,9/9/2005,n/a,175,NWP,175,n/a,/movies/?id=echoesofinnocence.htm
Echoes of Paradise,3/10/1989,n/a,n/a,Qrt.,n/a,"$23,717",/movies/?id=echoesofparadise.htm
The Eclipse,3/26/2010,"$13,207",6,Magn.,12,"$133,411",/movies/?id=eclipse10.htm
Ed,3/15/1996,"$1,910,840","1,541",Uni.,"1,583","$4,422,380",/movies/?id=ed.htm
Ed Wood,9/30/1994,"$71,566",2,BV,623,"$5,887,457",/movies/?id=edwood.htm
Ed's Next Move,9/27/1996,"$16,042",8,OrionC,13,"$106,791",/movies/?id=edsnextmove.htm
Eddie,5/31/1996,"$8,041,972","1,989",BV,"2,000","$31,387,164",/movies/?id=eddie.htm
Eddie and the Cruisers,9/23/1983,"$1,444,886",475,Emb,475,"$4,786,789",/movies/?id=eddieandthecruisers.htm
Eddie and the Cruisers II,8/18/1989,"$536,508",402,Sct.,402,"$536,508",/movies/?id=eddieandthecruisers2.htm
Eddie Macon's Run,1983,n/a,n/a,Uni.,n/a,"$1,262,691",/movies/?id=eddiemaconsrun.htm
Eddie Murphy Raw,12/18/1987,"$9,077,324","1,391",Par.,"1,494","$50,504,655",/movies/?id=eddiemurphyraw.htm
Eddie the Eagle,2/26/2016,"$6,084,682","2,042",Fox,"2,044","$15,789,389",/movies/?id=eddietheeagle.htm
Eddie the Sleepwalking Cannibal,4/5/2013,"$1,016",5,DR,5,"$1,632",/movies/?id=eddiecannibal.htm
Eden,6/19/2015,"$18,987",3,BG,15,"$65,460",/movies/?id=eden.htm
Eden (1998),3/27/1998,"$1,564",1,Leg.,1,"$4,210",/movies/?id=eden98.htm
Eden (2008),11/14/2008,"$3,084",1,LibE,3,"$15,611",/movies/?id=eden08.htm
Eden Lake,10/31/2008,"$5,824",10,TRR,10,"$7,321",/movies/?id=edenlake.htm
Eden Log,N/A,n/a,n/a,Magn.,n/a,n/a,/movies/?id=edenlog.htm
Eden Valley,1/19/1996,n/a,n/a,MD,n/a,"$2,642",/movies/?id=edenvalley.htm
The Edge,9/26/1997,"$7,733,445","2,350",Fox,"2,355","$27,873,386",/movies/?id=edge.htm
Edge of Darkness,1/29/2010,"$17,214,384","3,066",WB,"3,066","$43,313,890",/movies/?id=edgeofdarkness.htm
The Edge of Heaven,5/21/2008,"$14,257",1,Strand,20,"$742,349",/movies/?id=edgeofheaven.htm
The Edge of Seventeen,11/18/2016,"$4,754,215","1,945",STX,"1,945","$14,431,633",/movies/?id=besties.htm
Edge of Seventeen,4/30/1999,"$5,302",1,Strand,10,"$871,759",/movies/?id=edgeofseventeen.htm
Edge of the City,1/29/1957,n/a,n/a,MGM,n/a,n/a,/movies/?id=edgeofthecity.htm
Edge of Tomorrow,6/6/2014,"$28,760,246","3,490",WB,"3,505","$100,206,256",/movies/?id=allyouneediskill.htm
Edge of Winter,8/12/2016,n/a,n/a,INDEP,n/a,n/a,/movies/?id=edgeofwinter.htm
Edison Force,N/A,n/a,n/a,N/A,n/a,n/a,/movies/?id=edison.htm
"Edison, The Man",5/10/1940,n/a,n/a,MGM,n/a,n/a,/movies/?id=edisontheman.htm
Edmond,7/14/2006,"$19,253",2,FInd.,5,"$131,719",/movies/?id=edmond.htm
EDtv,3/26/1999,"$8,311,290","2,627",Uni.,"2,631","$22,431,897",/movies/?id=edtv.htm
Educating Rita,9/23/1983,"$73,518",3,Col.,407,"$14,648,076",/movies/?id=educatingrita.htm
An Education,10/9/2009,"$159,017",4,SPC,763,"$12,574,914",/movies/?id=aneducation.htm
The Education of Charlie Banks,3/27/2009,"$8,538",3,Anch.,3,"$15,078",/movies/?id=educationofcharliebanks.htm
The Education of Little Tree,12/25/1997,"$1,817",1,Par.,52,"$323,411",/movies/?id=educationoflittletree.htm
The Edukators,7/22/2005,"$10,075",2,IFC,19,"$175,493",/movies/?id=edukators.htm
Edvard Munch (Re-issue),6/17/2005,"$3,961",1,Shad.,3,"$43,539",/movies/?id=edwardmunch.htm
Edward II,3/20/1992,"$28,318",2,FL,16,"$694,438",/movies/?id=edwardii.htm
Edward Scissorhands,12/7/1990,"$159,622",2,Fox,"1,372","$56,362,352",/movies/?id=edwardscissorhands.htm
The Eel,8/21/1998,"$29,879",3,NYer,6,"$418,480",/movies/?id=eel.htm
The Efficiency Expert,11/6/1992,"$52,776",24,Mira.,24,"$179,469",/movies/?id=efficiencyexpert.htm
Effie Gray,4/3/2015,"$161,728",201,AF,201,"$352,534",/movies/?id=effiegray.htm
Effroyables jardins,2/20/2004,"$38,155",12,Cris,12,"$78,668",/movies/?id=effroyablesjardins.htm
Eichmann,10/29/2010,$573,1,Reg.,1,"$2,706",/movies/?id=eichmann.htm
The Eiger Sanction,1975,n/a,n/a,Uni.,n/a,"$14,200,000",/movies/?id=eigersanction.htm
Eight Below,2/17/2006,"$20,188,176","3,066",BV,"3,122","$81,612,565",/movies/?id=antarctica.htm
Eight Crazy Nights,11/27/2002,"$9,434,175","2,503",Sony,"2,503","$23,586,598",/movies/?id=eightcrazynights.htm
Eight Days a Week,2/26/1999,"$9,090",9,Leg.,9,"$9,090",/movies/?id=eightdaysaweek.htm
Eight Legged Freaks,7/17/2002,"$6,485,458","2,530",WB,"2,530","$17,322,606",/movies/?id=eightleggedfreaks.htm
Eight Men Out,9/2/1988,"$1,129,491",147,Orion,349,"$5,680,515",/movies/?id=eightmenout.htm
Eight Miles High,7/11/2008,"$1,496",1,MPI,1,"$2,616",/movies/?id=eightmileshigh.htm
The Eighth Day,3/7/1997,"$14,397",3,Gram.,5,"$416,401",/movies/?id=eighthday.htm
Eisenstein in Guanajuato,2/5/2016,"$9,823",4,Strand,5,"$34,282",/movies/?id=eisensteininguanajuato.htm
Ek Ajnabee,12/9/2005,"$121,406",38,Eros,38,"$213,143",/movies/?id=ekajnabee.htm
Ek Khiladi Ek Haseena,11/18/2005,"$78,000",15,Eros,15,"$90,869",/movies/?id=ekkhiladiekhasina.htm
Ek Main Aur Ekk Tu,2/10/2012,"$637,100",111,UTV,111,"$1,155,545",/movies/?id=ekmainaurekktu.htm
Ek Tha Tiger,8/15/2012,"$1,139,340",120,Yash,120,"$2,347,774",/movies/?id=ekthatiger.htm
Ek Thi Daayan,4/19/2013,"$65,857",47,Eros,47,"$112,135",/movies/?id=ekthidaayan.htm
Ek Villain,6/27/2014,"$414,116",104,Eros,104,"$730,530",/movies/?id=ekvillain.htm
Ek Vivah Aisa Bhi,11/7/2008,"$6,437",7,Eros,7,"$6,437",/movies/?id=ekvivahaisabhi.htm
Eklavya - The Royal Guard,2/16/2007,"$690,423",80,Eros,80,"$1,290,212",/movies/?id=eklavya.htm
El Bonaerense,11/26/2003,"$5,550",1,Men.,1,"$9,470",/movies/?id=elbonaerense.htm
El Bulli: Cooking in Progress,7/27/2011,"$12,756",1,AM,10,"$237,181",/movies/?id=elbulli.htm
El Cantante,8/3/2007,"$3,202,035",542,PicH,542,"$7,556,712",/movies/?id=elcantante.htm
El Cid,12/14/1961,n/a,n/a,AAP,n/a,n/a,/movies/?id=elcid.htm
El Clan,3/18/2016,"$12,519",3,FIP,19,"$201,227",/movies/?id=elclan.htm
El Crimen del Padre Amaro,11/15/2002,"$504,681",43,IDP,137,"$5,717,044",/movies/?id=elcrimendelpadreamaro.htm
El Crimen Perfecto,8/19/2005,"$9,588",1,Vita.,23,"$418,843",/movies/?id=elcrimenperfecto.htm
El Dorado,6/7/1967,n/a,n/a,Par.,n/a,n/a,/movies/?id=eldorado.htm
El Inmigrante,7/13/2007,"$1,578",2,Indic.,2,"$15,100",/movies/?id=elinmigrante.htm
El Jeremias,10/21/2016,"$314,109",192,Sony,192,"$650,465",/movies/?id=eljeremias.htm
El Leyton,11/21/2003,"$1,332",1,Cn4,1,"$1,332",/movies/?id=elleyton.htm
El Mariachi,2/26/1993,"$312,528",66,Col.,88,"$2,040,920",/movies/?id=elmariachi.htm
El Milagro De Marcelino Pan,10/26/2012,"$17,092",1,GPR,1,"$18,193",/movies/?id=elmilagrodemarcelinopan.htm
El Nino,4/17/2015,$245,1,Distrib.,1,"$1,237",/movies/?id=elnino.htm
El Norte,1984,n/a,n/a,Art.,n/a,n/a,/movies/?id=elnorte.htm
El Perro,6/9/2006,n/a,n/a,CTr,1,"$19,791",/movies/?id=elperro.htm
"El Sicario, Room 164",12/28/2011,"$2,040",1,Icar.,1,"$6,123",/movies/?id=elsicario.htm
El Sueno del Regreso,3/10/2006,"$5,659",19,Aloha,19,"$7,668",/movies/?id=elsuenodelregresso.htm
El Superstar: The Unlikely Rise of Juan Frances,9/17/2010,"$2,330",1,CLS,1,"$3,271",/movies/?id=elsuperstar.htm
El Topo (re-issue),12/13/2006,"$6,857",1,Abk.,4,"$80,302",/movies/?id=eltopo06.htm
El Vacilon: The Movie,10/21/2005,"$266,935",29,Tele,36,"$1,291,951",/movies/?id=elvacilon.htm
El Velador (The Night Watchman),7/6/2012,$378,2,Icar.,2,"$1,530",/movies/?id=elvelador.htm
Elaine Stritch: Shoot Me,2/21/2014,"$27,853",2,IFC,41,"$327,452",/movies/?id=elainestritch.htm
Election,4/23/1999,"$119,080",6,Par.,827,"$14,902,041",/movies/?id=election.htm
Electric Dreams,7/20/1984,"$1,009,586",920,MGM,920,"$2,193,612",/movies/?id=electricdreams.htm
The Electric Horseman,12/21/1979,n/a,n/a,Col.,n/a,"$61,801,971",/movies/?id=electrichorseman.htm
Electric Shadows,12/16/2005,$784,1,FRun,2,"$7,129",/movies/?id=electricshadows.htm
Elegy,8/8/2008,"$104,168",6,Gold.,142,"$3,581,642",/movies/?id=elegy.htm
Elektra,1/14/2005,"$12,804,793","3,204",Fox,"3,204","$24,409,722",/movies/?id=elektra.htm
Elektra Luxx,3/11/2011,"$5,601",4,Gold.,4,"$11,514",/movies/?id=elektraluxx.htm
Elemental,5/17/2013,n/a,1,TFC,3,"$10,358",/movies/?id=elemental.htm
Elena,5/16/2012,"$9,035",1,Zeit.,13,"$233,380",/movies/?id=elena.htm
Elena (2014),5/30/2014,"$10,341",1,Vari.,2,"$25,788",/movies/?id=elena2014.htm
Eleni,11/1/1985,"$27,875",1,WB,4,"$305,102",/movies/?id=eleni.htm
Elephant,10/24/2003,"$93,356",6,FL,38,"$1,266,955",/movies/?id=elephant.htm
The Elephant King,10/17/2008,"$15,959",1,Unis.,2,"$22,251",/movies/?id=elephantking.htm
The Elephant Man,10/3/1980,n/a,n/a,Par.,n/a,"$26,010,864",/movies/?id=elephantman.htm
Elevate,10/21/2011,"$3,547",1,Vari.,2,"$5,580",/movies/?id=elevate.htm
Elevator to the Gallows (2016 re-issue),8/3/2016,"$14,334",1,Rialto,5,"$111,267",/movies/?id=elevatorgallows2016.htm
Elevator to the Gallows (Re-issue),6/24/2005,"$7,354",1,Rialto,4,"$263,404",/movies/?id=elevatortothegallows.htm
Eleven Men Out,11/16/2007,"$1,302",1,Reg.,1,"$1,302",/movies/?id=elevenmenout.htm
Eleven Minutes,2/20/2009,"$3,670",4,Reg.,4,"$7,986",/movies/?id=elevenminutes.htm
Elf,11/7/2003,"$31,113,501","3,337",NL,"3,381","$173,398,518",/movies/?id=elf.htm
Eli,6/19/2015,"$7,098",18,Eros,18,"$13,547",/movies/?id=eli.htm
Eliminators,1/31/1986,"$1,987,072",993,EP,993,"$4,601,256",/movies/?id=eliminators.htm
Elite Squad,9/19/2008,"$3,604",1,IFC,1,"$8,744",/movies/?id=elitesquad.htm
Elite Squad: The Enemy Within,11/11/2011,"$8,648",1,Vari.,7,"$100,119",/movies/?id=elitesquad2.htm
